library,P1L1,P2L1,P1H1,P2H1,P3L1,P3H1,P1L2,P2L2,P1H2,P2H2,P3L2,P3H2
OG0030028:,531.83,619.94,724.83,479.96,849.67,613.06,538.08,471.18,181.94,474.2,274.62,410.66
OG0030029:,6.02,27.15,29.27,5.8,23.04,24.63,179.39,435.78,288.8,434.28,2,16.69
OG0030030:,11.36,26.64,20.61,7.45,28.45,32.91,128.63,519.18,342.45,505.65,4,5.14
OG0030031:,9,12,52,10.58,15,36,118,143,114,487.05,522,78
OG0030032:,262.99,601.47,695.76,615.87,447.85,436.09,1026.55,1106,959.73,1430.05,761.35,609.43
OG0030033:,22,114,104,119,12,46,236,334,276,278,143,321
OG0030034:,370.28,390.29,496.58,258.05,797.9,376.74,632.92,772.97,75.92,705.07,304.24,578.49
OG0030035:,9.07,0,3,8,68.53,7.03,56.99,35.57,5.14,58.08,26.65,14.08
OG0030036:,7.12,0,2.03,40.94,9.32,15.13,38.85,31.66,16.45,19.89,13.68,37.88
OG0030037:,59.75,131,177.4,62.89,153.01,143.17,966.63,1013.78,387.05,1396.05,1154.92,831.94
OG0030038:,43.05,88.4,229.29,91.06,215.6,167.53,536.94,390.05,94.83,511.54,202.4,870.18
OG0030039:,1393.06,2046.55,3155.26,1418.78,2273.27,2200.3,2995.8,1870.84,724.2,2417.23,1313.99,2205.06
OG0030040:,327.06,484.24,751.56,187.19,574.77,760.36,470.94,870.32,145.65,462.99,285.9,1170.34
OG0030041:,6.05,31.09,37.5,7.42,39.03,34,242.29,176.57,44.56,152.4,125.07,109.99
OG0030042:,127.87,437.51,272.26,251.68,393.8,321.22,281.22,398.6,141.54,332.11,214.1,270.59
OG0030043:,174.88,459.46,326.58,309.69,545.88,373.7,300.29,435.79,170.17,310.76,190.01,249.56
OG0030044:,6.17,23.85,206.16,30.9,130.44,100.33,126.61,330.06,107.29,190.38,480.15,115.28
OG0030045:,53,133.79,90.04,22,48,174.98,460.45,851.83,176.01,846.9,640.12,387.98
OG0030046:,22,14,29.02,109,13.82,23,4,194,42,142.01,11,87.62
OG0030047:,471.24,402.31,1087.94,277.01,611,899.01,3321.81,3042.06,1375,3877,3004,1754.71
OG0030048:,0,0,2,0,3,26,5,143.01,0,1.04,0,5
OG0030049:,0,8,9,7,102,112,11,7,18,7,6,89
OG0030050:,0,0,2,0,0,10,1,70,0,1,1,0
OG0030051:,0,2.91,1,0,6,40,3,74,6,0,1,4
OG0030052:,39.84,26,72.19,47,68.02,44.18,251.86,320,116.04,206,292.11,155
OG0030053:,0,5,1,0,6,9,0,150,1,6,1,301.9
OG0030054:,48.12,42.77,111.7,21.49,12.35,83.58,169.49,102.8,51.44,106.56,106.12,82.67
OG0030055:,75.87,43.23,141.3,33.51,17.65,94.42,254.51,142.19,67.56,146.43,140.42,117.32
OG0030056:,97.87,393.1,121.04,59.93,117.9,116,49.24,64.49,6.75,39.78,12.32,39.89
OG0030057:,7,0,0,0,44,23,28,57,8.02,4,34,46
OG0030058:,0,10,2,0,14,1,5,218.57,0,2,0,36
OG0030059:,0,2,0,0,2,47,2,210,0,3,0,2
OG0030060:,1,24,15.96,31,13.99,55.24,64,244.15,47,5,1,65
OG0030061:,8.68,5.27,18.01,12.06,5,6.04,54,56,10.95,115.67,28,43
OG0030062:,0,1,8,0,10,4,14,96,13,7,9,0
OG0030063:,0,1,0,0,2,1,0,53,0,0,0,0
OG0030064:,0,2,4,5,12,39,4,384,2,4,4,321
OG0030065:,10,6,4,3,13,51,24,624,37,61,29,44
OG0030066:,0,2,0,2,1,5,0,56,0,2,0,158
OG0030067:,0,213,9.02,0,22,155,11,23.22,14,0,0,43
OG0030068:,0,0,3,0,1,5,0,165,0,4,0,0
OG0030069:,46.69,106.63,195.96,52,152.5,311.91,1104.97,1409.17,342,1340.6,952.95,1589.82
OG0030070:,231.47,219.18,370.83,257.77,602.79,469.78,1301.93,1531.92,398.39,1487.42,486.3,1166.29
OG0030071:,133.85,154.39,215.11,189.25,382.12,262.37,564.23,651.34,149.61,597.52,221.11,483.96
OG0030072:,42.02,62.56,61.45,133.9,24.48,112.39,300.09,264.04,73.92,281.06,207.03,135.34
OG0030073:,118.02,139.1,259.28,115.22,272.9,315.45,1206.12,1835.64,301.74,1305.94,437.73,1037.18
